,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team
30,2009,2,31,New York Islanders,Mikko Koskinen,37608,1988-07-18,FIN,"6' 5""",191,L,8475156,G,European Goalie,FINLAND,Blues
45,2009,2,46,Ottawa Senators,Robin Lehner,14101,1991-07-24,SWE,"6' 3""",220,L,8475215,G,North American Goalie,SWEDEN-JR.,Frolunda Jr.
61,2009,3,62,New York Islanders,Anders Nilsson,42235,1990-03-19,SWE,"6' 5""",226,L,8475195,G,European Goalie,SWEDEN-JR.,Lulea Jr.
75,2009,3,76,Anaheim Ducks,Igor Bobkov,29013,1991-01-02,RUS,"6' 6""",236,L,8475251,G,North American Goalie,RUSSIA-3,Magnitogorsk 2
76,2009,3,77,Minnesota Wild,Matt Hackett,9772,1990-03-07,CAN,"6' 2""",178,L,8475252,G,North American Goalie,OHL,Plymouth
80,2009,3,81,Philadelphia Flyers,Adam Morrison,17433,1991-02-09,CAN,"6' 2""",188,L,8475244,G,North American Goalie,WHL,Saskatoon
90,2009,3,91,Phoenix Coyotes,Michael Lee,14037,1990-10-05,USA,"6' 1""",185,L,8475230,G,North American Goalie,USHL,Fargo
94,2009,4,95,Los Angeles Kings,J-F Berube,1681,1991-07-13,CAN,"6' 1""",170,L,8475234,G,North American Goalie,QMJHL,Montreal
116,2009,4,117,Atlanta Thrashers,Edward Pasquale,18985,1990-11-20,CAN,"6' 2""",218,L,8475277,G,North American Goalie,OHL,Saginaw
123,2009,5,124,Colorado Avalanche,Kieran Millan,16901,1989-08-31,CAN,"6' 0""",190,L,8475272,G,North American Goalie,H-EAST,Boston University
132,2009,5,133,Edmonton Oilers,Olivier Roy,21265,1991-07-12,CAN,"6' 0""",194,L,8475258,G,North American Goalie,QMJHL,Cape Breton
139,2009,5,140,New York Rangers,Scott Stajcer,23299,1991-06-14,CAN,"6' 2""",195,L,8475255,G,North American Goalie,OHL,Owen Sound
141,2009,5,142,Philadelphia Flyers,Nicola Riopel,20747,1989-02-20,CAN,"6' 0""",175,L,8474809,G,North American Goalie,QMJHL,Moncton
147,2009,5,148,Tampa Bay Lightning,Michael Zador,26739,1991-05-08,CAN,"6' 2""",177,L,8475322,G,North American Goalie,OHL,Oshawa
153,2009,6,154,Colorado Avalanche,Brandon Maxwell,15845,1991-03-22,USA,"6' 1""",196,L,8475316,G,North American Goalie,USDP,USA U-18
160,2009,6,161,Minnesota Wild,Darcy Kuemper,13158,1990-05-05,CAN,"6' 4""",206,L,8475311,G,North American Goalie,WHL,Red Deer
161,2009,6,162,Tampa Bay Lightning,Jaroslav Janus,11627,1989-09-21,SVK,"6' 0""",194,L,8475312,G,North American Goalie,OHL,Erie
163,2009,6,164,Buffalo Sabres,Connor Knapp,12754,1990-05-01,USA,"6' 5""",215,L,8475303,G,North American Goalie,CCHA,Miami University
170,2009,6,171,Calgary Flames,Joni Ortio,42986,1991-04-16,FIN,"6' 1""",187,L,8475299,G,European Goalie,Finland Jr.,TPS Jr.
172,2009,6,173,Vancouver Canucks,Joe Cannata,3486,1990-01-02,USA,"6' 1""",200,L,8475300,G,North American Goalie,H-EAST,Merrimack
210,2009,7,211,Montréal Canadiens,Petteri Simila,47128,1990-04-09,FIN,"6' 5""",207,L,8475326,G,European Goalie,Finland Jr.,Karpat Jr.
221,2010,1,11,Dallas Stars,Jack Campbell,3431,1992-01-09,USA,"6' 2""",175,L,8475789,G,North American Goalie,USHL,USA U-18
237,2010,1,27,Phoenix Coyotes,Mark Visentin,25376,1992-08-07,CAN,"6' 2""",201,L,8475771,G,North American Goalie,OHL,Niagara
259,2010,2,49,Colorado Avalanche,Calvin Pickard,19556,1992-04-15,CAN,"6' 0""",195,L,8475717,G,North American Goalie,WHL,Seattle
268,2010,2,58,Chicago Blackhawks,Kent Simpson,22591,1992-03-26,CAN,"6' 2""",190,L,8475720,G,North American Goalie,WHL,Everett
294,2010,3,84,New Jersey Devils,Scott Wedgewood,25820,1992-08-14,CAN,"6' 2""",185,L,8475809,G,North American Goalie,OHL,Plymouth
302,2010,4,92,Florida Panthers,Sam Brittain,2759,1992-05-10,CAN,"6' 3""",215,L,8475821,G,North American Goalie,AJHL,Canmore
312,2010,4,102,Columbus Blue Jackets,Mathieu Corbeil,4780,1991-09-27,CAN,"6' 5""",201,L,8475819,G,North American Goalie,QMJHL,Halifax
317,2010,4,107,Colorado Avalanche,Sami Aittokallio,27268,1992-08-06,FIN,"6' 1""",185,L,8475824,G,European Goalie,Finland Jr.,Ilves Jr.
322,2010,4,112,Washington Capitals,Philipp Grubauer,9619,1991-11-25,DEU,"6' 1""",185,L,8475831,G,North American Goalie,OHL,Windsor
331,2010,5,121,Edmonton Oilers,Tyler Bunz,3089,1992-02-11,CAN,"6' 1""",200,L,8475781,G,North American Goalie,WHL,Medicine Hat
338,2010,5,128,Atlanta Thrashers,Fredrik Pettersson-Wentzel,43849,1991-07-23,SWE,"6' 1""",189,L,8475840,G,European Goalie,SWEDEN-2,Almtuna
348,2010,5,138,Phoenix Coyotes,Louis Domingue,6334,1992-03-06,CAN,"6' 3""",191,R,8475839,G,North American Goalie,QMJHL,Quebec
351,2010,5,141,Detroit Red Wings,Petr Mrazek,17578,1992-02-14,CZE,"6' 0""",184,L,8475852,G,North American Goalie,OHL,Ottawa
369,2010,6,159,Minnesota Wild,Johan Gustafsson,33204,1992-02-28,SWE,"6' 2""",202,L,8475860,G,European Goalie,SWEDEN-JR. 2,Farjestad Jr.
375,2010,6,165,Boston Bruins,Zane Mcintyre,9247,1992-08-20,USA,"6' 2""",190,L,8475876,G,North American Goalie,HIGH-MN,Thief River Falls
384,2010,6,174,New Jersey Devils,Maxime Clermont,4381,1991-12-31,CAN,"6' 0""",190,L,8475805,G,North American Goalie,QMJHL,Gatineau
385,2010,6,175,Vancouver Canucks,Jonathan Iilahti,34814,1992-04-27,FIN,"6' 1""",176,L,8475909,G,European Goalie,Finland Jr.,Blues Jr.
