,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,catches,nhl_id,position,prospect_category,amateur_league,amateur_team,nhl_games_played,200+games
0,2009,2,31,New York Islanders,Mikko Koskinen,37608,1988-07-18,FIN,"6' 5""",191,L,8475156,G,European Goalie,FINLAND,Blues,168,0
1,2009,2,46,Ottawa Senators,Robin Lehner,14101,1991-07-24,SWE,"6' 3""",220,L,8475215,G,North American Goalie,SWEDEN-JR.,Frolunda Jr.,364,1
2,2009,3,62,New York Islanders,Anders Nilsson,42235,1990-03-19,SWE,"6' 5""",226,L,8475195,G,European Goalie,SWEDEN-JR.,Lulea Jr.,161,0
3,2009,3,76,Anaheim Ducks,Igor Bobkov,29013,1991-01-02,RUS,"6' 6""",236,L,8475251,G,North American Goalie,RUSSIA-3,Magnitogorsk 2,0,0
4,2009,3,77,Minnesota Wild,Matt Hackett,9772,1990-03-07,CAN,"6' 2""",178,L,8475252,G,North American Goalie,OHL,Plymouth,26,0
5,2009,3,81,Philadelphia Flyers,Adam Morrison,17433,1991-02-09,CAN,"6' 2""",188,L,8475244,G,North American Goalie,WHL,Saskatoon,0,0
6,2009,3,91,Phoenix Coyotes,Michael Lee,14037,1990-10-05,USA,"6' 1""",185,L,8475230,G,North American Goalie,USHL,Fargo,0,0
7,2009,4,95,Los Angeles Kings,J-F Berube,1681,1991-07-13,CAN,"6' 1""",170,L,8475234,G,North American Goalie,QMJHL,Montreal,40,0
8,2009,4,117,Atlanta Thrashers,Edward Pasquale,18985,1990-11-20,CAN,"6' 2""",218,L,8475277,G,North American Goalie,OHL,Saginaw,3,0
9,2009,5,124,Colorado Avalanche,Kieran Millan,16901,1989-08-31,CAN,"6' 0""",190,L,8475272,G,North American Goalie,H-EAST,Boston University,0,0
10,2009,5,133,Edmonton Oilers,Olivier Roy,21265,1991-07-12,CAN,"6' 0""",194,L,8475258,G,North American Goalie,QMJHL,Cape Breton,0,0
11,2009,5,140,New York Rangers,Scott Stajcer,23299,1991-06-14,CAN,"6' 2""",195,L,8475255,G,North American Goalie,OHL,Owen Sound,0,0
12,2009,5,142,Philadelphia Flyers,Nicola Riopel,20747,1989-02-20,CAN,"6' 0""",175,L,8474809,G,North American Goalie,QMJHL,Moncton,0,0
13,2009,5,148,Tampa Bay Lightning,Michael Zador,26739,1991-05-08,CAN,"6' 2""",177,L,8475322,G,North American Goalie,OHL,Oshawa,0,0
14,2009,6,154,Colorado Avalanche,Brandon Maxwell,15845,1991-03-22,USA,"6' 1""",196,L,8475316,G,North American Goalie,USDP,USA U-18,0,0
15,2009,6,161,Minnesota Wild,Darcy Kuemper,13158,1990-05-05,CAN,"6' 4""",206,L,8475311,G,North American Goalie,WHL,Red Deer,356,1
16,2009,6,162,Tampa Bay Lightning,Jaroslav Janus,11627,1989-09-21,SVK,"6' 0""",194,L,8475312,G,North American Goalie,OHL,Erie,0,0
17,2009,6,164,Buffalo Sabres,Connor Knapp,12754,1990-05-01,USA,"6' 5""",215,L,8475303,G,North American Goalie,CCHA,Miami University,2,0
18,2009,6,171,Calgary Flames,Joni Ortio,42986,1991-04-16,FIN,"6' 1""",187,L,8475299,G,European Goalie,Finland Jr.,TPS Jr.,37,0
19,2009,6,173,Vancouver Canucks,Joe Cannata,3486,1990-01-02,USA,"6' 1""",200,L,8475300,G,North American Goalie,H-EAST,Merrimack,0,0
20,2009,7,211,Montréal Canadiens,Petteri Simila,47128,1990-04-09,FIN,"6' 5""",207,L,8475326,G,European Goalie,Finland Jr.,Karpat Jr.,0,0
21,2010,1,11,Dallas Stars,Jack Campbell,3431,1992-01-09,USA,"6' 2""",175,L,8475789,G,North American Goalie,USHL,USA U-18,171,0
22,2010,1,27,Phoenix Coyotes,Mark Visentin,25376,1992-08-07,CAN,"6' 2""",201,L,8475771,G,North American Goalie,OHL,Niagara,1,0
23,2010,2,49,Colorado Avalanche,Calvin Pickard,19556,1992-04-15,CAN,"6' 0""",195,L,8475717,G,North American Goalie,WHL,Seattle,116,0
24,2010,2,58,Chicago Blackhawks,Kent Simpson,22591,1992-03-26,CAN,"6' 2""",190,L,8475720,G,North American Goalie,WHL,Everett,1,0
25,2010,3,84,New Jersey Devils,Scott Wedgewood,25820,1992-08-14,CAN,"6' 2""",185,L,8475809,G,North American Goalie,OHL,Plymouth,98,0
26,2010,4,92,Florida Panthers,Sam Brittain,2759,1992-05-10,CAN,"6' 3""",215,L,8475821,G,North American Goalie,AJHL,Canmore,0,0
27,2010,4,102,Columbus Blue Jackets,Mathieu Corbeil,4780,1991-09-27,CAN,"6' 5""",201,L,8475819,G,North American Goalie,QMJHL,Halifax,0,0
28,2010,4,107,Colorado Avalanche,Sami Aittokallio,27268,1992-08-06,FIN,"6' 1""",185,L,8475824,G,European Goalie,Finland Jr.,Ilves Jr.,2,0
29,2010,4,112,Washington Capitals,Philipp Grubauer,9619,1991-11-25,DEU,"6' 1""",185,L,8475831,G,North American Goalie,OHL,Windsor,308,1
30,2010,5,121,Edmonton Oilers,Tyler Bunz,3089,1992-02-11,CAN,"6' 1""",200,L,8475781,G,North American Goalie,WHL,Medicine Hat,1,0
31,2010,5,128,Atlanta Thrashers,Fredrik Pettersson-Wentzel,43849,1991-07-23,SWE,"6' 1""",189,L,8475840,G,European Goalie,SWEDEN-2,Almtuna,0,0
32,2010,5,138,Phoenix Coyotes,Louis Domingue,6334,1992-03-06,CAN,"6' 3""",191,R,8475839,G,North American Goalie,QMJHL,Quebec,142,0
